town_id,treatment,town_group,person_id,uses_new_seeds,hhld_size,age_head_hhld,married,lnearnings
283,0,3,1,1,4,40,0,10.14184
283,1,3,2,1,4,40,0,9.755926
283,1,3,3,1,6,30,1,11.44433
283,0,3,4,1,4,30,1,9.661225
283,1,3,5,1,3,35,0,9.400567
283,0,3,6,1,2,30,0,8.750978
283,1,3,7,1,4,50,1,11.35125
283,1,3,8,1,4,40,1,9.84112
283,1,3,9,1,6,50,0,10.84286
283,0,3,10,1,6,30,0,11.98196
283,1,3,11,1,4,30,1,9.754213
283,0,3,12,1,4,35,0,10.65575
283,1,3,13,1,5,50,0,10.40071
283,1,3,14,1,6,40,0,11.46532
283,1,3,15,,3,40,1,
283,1,3,16,1,5,35,1,10.86347
283,0,3,17,1,2,50,0,9.294716
283,1,3,18,1,5,30,1,9.914053
283,1,3,19,1,5,40,0,10.90433
283,0,3,20,1,5,40,0,10.83622
283,0,3,21,1,6,40,1,12.32678
283,1,3,22,1,4,40,0,9.59742
283,0,3,23,,6,30,0,
283,1,3,24,1,6,35,1,9.651224
283,1,3,25,1,5,40,0,10.33569
283,1,3,26,,4,40,0,
283,1,3,27,1,4,35,0,9.508758
283,1,3,28,1,2,25,1,9.925535
283,1,3,29,1,6,35,0,11.22515
283,1,3,30,1,6,40,0,10.82653
283,1,3,31,,2,40,1,
283,1,3,32,1,4,50,1,9.949472
283,1,3,33,1,4,45,0,10.33204
283,0,3,34,1,4,40,1,9.353625
283,1,3,35,1,2,30,1,10.08998
283,1,3,36,1,4,40,0,10.75052
283,1,3,37,1,6,40,0,11.08768
283,1,3,38,1,4,30,1,10.89168
283,0,3,39,0,6,40,0,10.57606
283,0,3,40,1,4,35,1,10.64491
283,1,3,41,,4,30,1,
283,1,3,42,1,4,35,0,10.87873
283,1,3,43,1,2,45,1,10.34379
283,0,3,44,0,4,35,0,10.74804
283,1,3,45,1,3,30,1,9.38235
283,0,3,46,1,4,35,1,11.18797
283,1,3,47,1,4,45,0,10.39909
283,0,3,48,1,2,40,1,10.30752
283,1,3,49,1,5,45,1,10.35575
283,1,3,50,1,2,40,0,10.39169
283,1,3,51,1,2,45,1,10.02946
283,1,3,52,1,5,35,1,10.97135
283,1,3,53,1,5,45,0,9.57015
283,1,3,54,1,6,45,1,10.56773
283,0,3,55,1,5,40,0,10.29755
283,0,3,56,1,4,30,1,10.9403
283,0,3,57,1,6,40,0,11.07198
283,1,3,58,1,2,40,0,10.59442
283,1,3,59,,4,30,1,
283,0,3,60,1,4,40,0,10.06646
283,0,3,61,1,4,35,1,9.196669
283,1,3,62,1,2,30,1,9.618933
283,1,3,63,1,5,50,0,10.7888
283,1,3,64,1,3,25,1,9.361925
283,1,3,65,1,4,30,0,10.32294
283,1,3,66,1,2,40,0,9.133434
283,1,3,67,,5,30,0,
283,1,3,68,1,2,40,0,10.90648
283,1,3,69,1,4,35,0,10.54992
283,0,3,70,1,5,30,1,9.389894
283,0,3,71,1,5,35,0,10.40398
283,1,3,72,1,3,40,1,11.41973
283,1,3,73,1,6,35,1,10.94714
283,1,3,74,1,2,50,0,10.73499
283,0,3,75,1,6,35,0,11.66586
283,1,3,76,,6,35,1,
283,1,3,77,,4,35,1,
283,1,3,78,1,2,40,0,10.23099
283,1,3,79,,4,25,1,
283,1,3,80,1,4,35,1,9.555148
283,0,3,81,1,4,40,0,10.63726
283,1,3,82,1,4,50,0,11.15237
283,1,3,83,,3,40,0,
283,1,3,84,1,4,35,0,10.27264
283,1,3,85,1,6,30,0,11.41179
283,0,3,86,1,2,35,0,9.524664
283,1,3,87,,4,30,1,
283,1,3,88,1,4,30,0,11.38468
283,1,3,89,,4,50,1,
283,1,3,90,1,6,35,0,9.690488
283,1,3,91,1,4,40,0,11.38208
283,0,3,92,,3,50,0,
283,1,3,93,1,4,35,1,10.88488
283,1,3,94,1,3,40,1,9.676489
283,0,3,95,0,2,35,0,8.703195
